order_id,customer_key,first_name,last_name,email_address,mobile_number,city,state,order_date,product_category,gross_amount,discount_amount,net_order_value,payment_method,order_state
1000,7024,Arnav,Goel,dgade@gmail.com,9395217190,Surendranagar Dudhrej,Uttarakhand,2024-08-13,Books,82622,4131.1,78490.9,Card,Delivered
1001,8247,Yasmin,Basu,gourbhavin@gmail.com,5929963736,Chandigarh,Nagaland,2024-03-04,Home,55226,5522.6,49703.4,UPI,Delivered
1002,8205,Krish,Kata,jivinchar@gmail.com,4032533772,Mysore,Himachal Pradesh,2025-10-16,Electronics,26028,5205.6,20822.4,COD,Delivered
1003,8670,Siya,Magar,lavanya96@gmail.com,89141998,Motihari,Gujarat,2024-05-08,Fashion,6828,341.4,6486.6,UPI,Cancelled
1004,5425,Umang,Hora,mohanlal23@yahoo.com,6241956254,Dewas,Punjab,2026-01-13,Beauty,52760,10552.0,42208.0,UPI,Delivered
1005,7714,Baiju,Tank,yasminshan@hotmail.com,7601249508,Burhanpur,Nagaland,2025-09-19,Books,129756,0.0,129756.0,COD,Cancelled
1006,7960,Kabir,Brahmbhatt,qseshadri@hotmail.com,8178892505,Vellore,Punjab,2025-04-21,Beauty,20157,3023.55,17133.45,COD,Delivered
1007,8050,Prerak,Seth,tiya30@kade.biz,4297605616,Bokaro,Nagaland,2025-11-16,Beauty,9165,1833.0,7332.0,Card,Cancelled
1008,7782,Kaira,Gokhale,hboase@shanker-dutt.net,7351788050,Sonipat,Goa,2025-09-14,Electronics,10207,1020.7,9186.3,NetBanking,Returned
1009,5164,Vihaan,Chandran,yasmin70@rout.com,238482799,Bilaspur,Andhra Pradesh,2024-03-27,Fashion,8086,404.3,7681.7,NetBanking,Cancelled
1010,6076,Jayan,Korpal,ivarty@yahoo.com,3249654989,Dehradun,Himachal Pradesh,2024-03-15,Fashion,233210,34981.5,198228.5,NetBanking,Cancelled
1011,5641,Dhruv,Borra,varkeyryan@cherian.com,1022164885,Katni,Madhya Pradesh,2025-11-16,Fashion,37612,0.0,37612.0,NetBanking,Delivered
1012,6572,Priyansh,Bajwa,shlokuppal@gmail.com,6433700818,Nandyal,Uttarakhand,2025-11-10,Beauty,69138,3456.9,65681.1,COD,Returned
1013,5335,Charvi,Sagar,dhanush18@grover-chahal.com,3904353047,Bongaigaon,Karnataka,2025-09-02,Electronics,17018,1701.8,15316.2,NetBanking,Returned
1014,6689,Ayesha,Garde,xchauhan@bhakta-venkatesh.com,5596348192,Kishanganj,Tamil Nadu,2025-03-04,Fashion,62500,3125.0,59375.0,NetBanking,Cancelled
1015,8796,Madhav,Sami,guptarenee@yahoo.com,4857442464,Khammam,Uttar Pradesh,2024-08-10,Home,4766,238.3,4527.7,UPI,Cancelled
1016,8449,Trisha,Sarma,khoslakanav@hotmail.com,3169520164,Thane,Uttarakhand,2026-02-03,Electronics,2000,200.0,1800.0,COD,Returned
1017,5494,Ivana,Chauhan,mmammen@hotmail.com,3718171911,Hubli–Dharwad,Nagaland,2024-12-26,Beauty,70252,7025.2,63226.8,COD,Delivered
1018,8939,Gatik,Tella,sgulati@yahoo.com,3734404343,Satara,Bihar,2024-08-18,Home,53607,0.0,53607.0,UPI,Delivered
1019,7747,Ryan,Kaur,divijsingh@dasgupta-konda.com,6896060276,Ambarnath,Andhra Pradesh,2025-06-04,Home,225155,22515.5,202639.5,NetBanking,Cancelled
1020,6625,Kimaya,Acharya,reddyseher@gmail.com,9787103371,Farrukhabad,Tripura,2024-05-26,Books,11270,1690.5,9579.5,COD,Returned
1021,8039,Samiha,Comar,kapadianavya@dutta.com,3090443429,Ramagundam,Assam,2025-03-13,Books,53022,0.0,53022.0,UPI,Returned
1022,6646,Raunak,Hayer,esabharwal@sachdev.com,4209773781,Belgaum,Tripura,2025-12-24,Electronics,122190,24438.0,97752.0,UPI,Returned
1023,5722,Nehmat,Date,wiyer@sodhi.com,1537838828,Shivpuri,Gujarat,2024-07-02,Books,132116,13211.6,118904.4,COD,Returned
