order_id,customer_id,full_name,email,phone,full_address,order_timestamp,product_name,product_category,unit_price,quantity,payment_type,order_status,discount_pct
1000,7024,Arnav Goel,dgade@gmail.com,9395217190,"Surendranagar Dudhrej, Uttarakhand",2024-08-13 20:29:07,Tenetur,Books,41311,2,Card,Delivered,5
1001,8247,Yasmin Basu,gourbhavin@gmail.com,5929963736,"Chandigarh, Nagaland",2024-03-04 10:43:29,Explicabo,Home,27613,2,UPI,Delivered,10
1002,8205,Krish Kata,jivinchar@gmail.com,4032533772,"Mysore, Himachal Pradesh",2025-10-16 08:40:18,Excepturi,Electronics,6507,4,COD,Delivered,20
1003,8670,Siya Magar,lavanya96@gmail.com,0089141998,"Motihari, Gujarat",2024-05-08 03:53:48,Distinctio,Fashion,1707,4,UPI,Cancelled,5
1004,5425,Umang Hora,mohanlal23@yahoo.com,6241956254,"Dewas, Punjab",2026-01-13 11:02:44,Fugit,Beauty,13190,4,UPI,Delivered,20
1005,7714,Baiju Tank,yasminshan@hotmail.com,7601249508,"Burhanpur, Nagaland",2025-09-19 08:49:24,Esse,Books,43252,3,COD,Cancelled,0
1006,7960,Kabir Brahmbhatt,qseshadri@hotmail.com,8178892505,"Vellore, Punjab",2025-04-21 22:12:36,Voluptatum,Beauty,20157,1,COD,Delivered,15
1007,8050,Prerak Seth,tiya30@kade.biz,4297605616,"Bokaro, Nagaland",2025-11-16 08:25:42,Cum,Beauty,1833,5,Card,Cancelled,20
1008,7782,Kaira Gokhale,hboase@shanker-dutt.net,7351788050,"Sonipat, Goa",2025-09-14 15:31:48,Nihil,Electronics,10207,1,NetBanking,Returned,10
1009,5164,Vihaan Chandran,yasmin70@rout.com,0238482799,"Bilaspur, Andhra Pradesh",2024-03-27 01:27:24,Facere,Fashion,4043,2,NetBanking,Cancelled,5
1010,6076,Jayan Korpal,ivarty@yahoo.com,3249654989,"Dehradun, Himachal Pradesh",2024-03-15 05:39:01,Nihil,Fashion,46642,5,NetBanking,Cancelled,15
1011,5641,Dhruv Borra,varkeyryan@cherian.com,1022164885,"Katni, Madhya Pradesh",2025-11-16 05:07:47,Sequi,Fashion,18806,2,NetBanking,Delivered,0
